name,sku,category,price_default_text,price_default,price_status,variants_json,description,image_count,product_url,source_site,last_checked,raw_text
Red velvet cake,118314,,"385,000₫",385000,available,"[{""variant_name"": ""Ngọt"", ""variant_price_text"": ""385,000₫"", ""variant_price"": 385000}, {""variant_name"": ""Ngọt"", ""variant_price_text"": ""620,000₫"", ""variant_price"": 620000}]",,14,https://nguyenson.vn/products/redcovert-cake,Nguyễn Sơn Bakery,2026-04-23 09:53:17,"Tên sản phẩm: Red velvet cake | SKU: 118314 | Giá mặc định: 385,000₫ | Biến thể: Ngọt - 385,000₫, Ngọt - 620,000₫ | Số lượng ảnh: 14 | Nguồn: https://nguyenson.vn/products/redcovert-cake"
Chocolate Cake Piece,116188,,"40,000₫",40000,available,"[{""variant_name"": ""100g"", ""variant_price_text"": ""40,000₫"", ""variant_price"": 40000}]",,12,https://nguyenson.vn/products/royal-chocolate-cake-piece,Nguyễn Sơn Bakery,2026-04-23 09:53:20,"Tên sản phẩm: Chocolate Cake Piece | SKU: 116188 | Giá mặc định: 40,000₫ | Biến thể: 100g - 40,000₫ | Số lượng ảnh: 12 | Nguồn: https://nguyenson.vn/products/royal-chocolate-cake-piece"
Sablé raisin cookies,8938516386283,,"40,000₫",40000,available,"[{""variant_name"": ""130g"", ""variant_price_text"": ""40,000₫"", ""variant_price"": 40000}]",,12,https://nguyenson.vn/products/sable-raisin-cookies,Nguyễn Sơn Bakery,2026-04-23 09:53:22,"Tên sản phẩm: Sablé raisin cookies | SKU: 8938516386283 | Giá mặc định: 40,000₫ | Biến thể: 130g - 40,000₫ | Số lượng ảnh: 12 | Nguồn: https://nguyenson.vn/products/sable-raisin-cookies"
Sakura Cake,112201,,"285,000₫",285000,available,"[{""variant_name"": ""16 cm"", ""variant_price_text"": ""285,000₫"", ""variant_price"": 285000}]",,14,https://nguyenson.vn/products/sakura-cake,Nguyễn Sơn Bakery,2026-04-23 09:53:24,"Tên sản phẩm: Sakura Cake | SKU: 112201 | Giá mặc định: 285,000₫ | Biến thể: 16 cm - 285,000₫ | Số lượng ảnh: 14 | Nguồn: https://nguyenson.vn/products/sakura-cake"
Seasonal Fruit cake,112103,,"365,000₫",365000,available,"[{""variant_name"": ""Ngọt ít"", ""variant_price_text"": ""365,000₫"", ""variant_price"": 365000}, {""variant_name"": ""Ngọt ít"", ""variant_price_text"": ""635,000₫"", ""variant_price"": 635000}]",,14,https://nguyenson.vn/products/seasonal-fruit-cake,Nguyễn Sơn Bakery,2026-04-23 09:53:25,"Tên sản phẩm: Seasonal Fruit cake | SKU: 112103 | Giá mặc định: 365,000₫ | Biến thể: Ngọt ít - 365,000₫, Ngọt ít - 635,000₫ | Số lượng ảnh: 14 | Nguồn: https://nguyenson.vn/products/seasonal-fruit-cake"
Socola Cake,112191,,"355,000₫",355000,available,"[{""variant_name"": ""Ngọt"", ""variant_price_text"": ""355,000₫"", ""variant_price"": 355000}]",,14,https://nguyenson.vn/products/socola-cake,Nguyễn Sơn Bakery,2026-04-23 09:53:27,"Tên sản phẩm: Socola Cake | SKU: 112191 | Giá mặc định: 355,000₫ | Biến thể: Ngọt - 355,000₫ | Số lượng ảnh: 14 | Nguồn: https://nguyenson.vn/products/socola-cake"
Sponge cake chữ nhật,114127,,"19,000₫",19000,available,"[{""variant_name"": ""Default Title"", ""variant_price_text"": ""19,000₫"", ""variant_price"": 19000}]",,12,https://nguyenson.vn/products/spong-cake-chu-nhat,Nguyễn Sơn Bakery,2026-04-23 09:53:29,"Tên sản phẩm: Sponge cake chữ nhật | SKU: 114127 | Giá mặc định: 19,000₫ | Biến thể: Default Title - 19,000₫ | Số lượng ảnh: 12 | Nguồn: https://nguyenson.vn/products/spong-cake-chu-nhat"
Su Kem Cốm,116203,,"35,000₫",35000,available,"[{""variant_name"": ""Hộp"", ""variant_price_text"": ""35,000₫"", ""variant_price"": 35000}]",,12,https://nguyenson.vn/products/su-kem-com,Nguyễn Sơn Bakery,2026-04-23 09:53:31,"Tên sản phẩm: Su Kem Cốm | SKU: 116203 | Giá mặc định: 35,000₫ | Biến thể: Hộp - 35,000₫ | Số lượng ảnh: 12 | Nguồn: https://nguyenson.vn/products/su-kem-com"
Su Kem Khoai Môn,116204,,"17,000₫",17000,available,"[{""variant_name"": ""Hộp"", ""variant_price_text"": ""17,000₫"", ""variant_price"": 17000}]",,12,https://nguyenson.vn/products/su-kem-khoai-mon,Nguyễn Sơn Bakery,2026-04-23 09:53:33,"Tên sản phẩm: Su Kem Khoai Môn | SKU: 116204 | Giá mặc định: 17,000₫ | Biến thể: Hộp - 17,000₫ | Số lượng ảnh: 12 | Nguồn: https://nguyenson.vn/products/su-kem-khoai-mon"
Bánh Sữa chua Phô mai,112197,,"385,000₫",385000,available,"[{""variant_name"": ""Ngọt vừa"", ""variant_price_text"": ""385,000₫"", ""variant_price"": 385000}, {""variant_name"": ""Ngọt vừa"", ""variant_price_text"": ""660,000₫"", ""variant_price"": 660000}]",,14,https://nguyenson.vn/products/sua-chua-macapone-phoma,Nguyễn Sơn Bakery,2026-04-23 09:53:34,"Tên sản phẩm: Bánh Sữa chua Phô mai | SKU: 112197 | Giá mặc định: 385,000₫ | Biến thể: Ngọt vừa - 385,000₫, Ngọt vừa - 660,000₫ | Số lượng ảnh: 14 | Nguồn: https://nguyenson.vn/products/sua-chua-macapone-phoma"
Tiramisu cake,112116,,"365,000₫",365000,available,"[{""variant_name"": ""Ngọt ít"", ""variant_price_text"": ""365,000₫"", ""variant_price"": 365000}, {""variant_name"": ""Ngọt ít"", ""variant_price_text"": ""695,000₫"", ""variant_price"": 695000}]",,15,https://nguyenson.vn/products/tiramissu-cake,Nguyễn Sơn Bakery,2026-04-23 09:53:36,"Tên sản phẩm: Tiramisu cake | SKU: 112116 | Giá mặc định: 365,000₫ | Biến thể: Ngọt ít - 365,000₫, Ngọt ít - 695,000₫ | Số lượng ảnh: 15 | Nguồn: https://nguyenson.vn/products/tiramissu-cake"
Tiramisu Cake Piece,116191,,"40,000₫",40000,available,"[{""variant_name"": ""70g"", ""variant_price_text"": ""40,000₫"", ""variant_price"": 40000}]",,13,https://nguyenson.vn/products/tiramissu-cake-piece,Nguyễn Sơn Bakery,2026-04-23 09:53:37,"Tên sản phẩm: Tiramisu Cake Piece | SKU: 116191 | Giá mặc định: 40,000₫ | Biến thể: 70g - 40,000₫ | Số lượng ảnh: 13 | Nguồn: https://nguyenson.vn/products/tiramissu-cake-piece"
Tropical Forest cake,112124,,"355,000₫",355000,available,"[{""variant_name"": ""Ngọt"", ""variant_price_text"": ""355,000₫"", ""variant_price"": 355000}, {""variant_name"": ""Ngọt"", ""variant_price_text"": ""580,000₫"", ""variant_price"": 580000}]",,14,https://nguyenson.vn/products/tropical-forest-cake,Nguyễn Sơn Bakery,2026-04-23 09:53:39,"Tên sản phẩm: Tropical Forest cake | SKU: 112124 | Giá mặc định: 355,000₫ | Biến thể: Ngọt - 355,000₫, Ngọt - 580,000₫ | Số lượng ảnh: 14 | Nguồn: https://nguyenson.vn/products/tropical-forest-cake"
Vanilla Cheese Cake,112192,,"355,000₫",355000,available,"[{""variant_name"": ""Ngọt vừa"", ""variant_price_text"": ""355,000₫"", ""variant_price"": 355000}, {""variant_name"": ""Ngọt vừa"", ""variant_price_text"": ""Liên hệ"", ""variant_price"": null}]",,14,https://nguyenson.vn/products/vanilla-cheese-cake,Nguyễn Sơn Bakery,2026-04-23 09:53:40,"Tên sản phẩm: Vanilla Cheese Cake | SKU: 112192 | Giá mặc định: 355,000₫ | Biến thể: Ngọt vừa - 355,000₫, Ngọt vừa - Liên hệ | Số lượng ảnh: 14 | Nguồn: https://nguyenson.vn/products/vanilla-cheese-cake"
White cheese and caramel cake,112127,,"365,000₫",365000,available,"[{""variant_name"": ""Ngọt vừa"", ""variant_price_text"": ""365,000₫"", ""variant_price"": 365000}, {""variant_name"": ""Ngọt vừa"", ""variant_price_text"": ""650,000₫"", ""variant_price"": 650000}]",,14,https://nguyenson.vn/products/white-cheese-and-caramel-cake,Nguyễn Sơn Bakery,2026-04-23 09:53:43,"Tên sản phẩm: White cheese and caramel cake | SKU: 112127 | Giá mặc định: 365,000₫ | Biến thể: Ngọt vừa - 365,000₫, Ngọt vừa - 650,000₫ | Số lượng ảnh: 14 | Nguồn: https://nguyenson.vn/products/white-cheese-and-caramel-cake"
Yonsei Bread,111173,,"15,000₫",15000,available,"[{""variant_name"": ""60g"", ""variant_price_text"": ""15,000₫"", ""variant_price"": 15000}]",,12,https://nguyenson.vn/products/yonsei-bread,Nguyễn Sơn Bakery,2026-04-23 09:53:44,"Tên sản phẩm: Yonsei Bread | SKU: 111173 | Giá mặc định: 15,000₫ | Biến thể: 60g - 15,000₫ | Số lượng ảnh: 12 | Nguồn: https://nguyenson.vn/products/yonsei-bread"
